"gene","csf_dir","brain_dir","breadth","source","class","framework_read","evidence","basis"
"PTGDS","na","up","P1 ROSMAP/Banner ext-proteomics","P1+companion","Class II (tissue)","brain-replicating transition","own-program(P1 ext-validated)","literature-encoded endpoint directions (Control vs AD / module), NOT a trajectory engine run"
"HMOX1","na","up","MTG-up/EC-down","P3","Class I / region-specific artefact","REFUTED (direction flips across regions)","own-program(P3 region-conflict)","literature-encoded endpoint directions (Control vs AD / module), NOT a trajectory engine run"
"NPTX1","down","flat","4 cohorts/6 regions","Dai2026/Lao2026/Xiao2017","Class I / modality-specific","modality-limited: CSF signal, no brain transition","moderate(brain=inference)","literature-encoded endpoint directions (Control vs AD / module), NOT a trajectory engine run"
"NPTXR","down","flat","4 cohorts/6 regions","Dai2026/Lao2026/Xiao2017","Class I / modality-specific","modality-limited: CSF signal, no brain transition","moderate(brain=inference)","literature-encoded endpoint directions (Control vs AD / module), NOT a trajectory engine run"
"NPTX2","down","down","4 cohorts/6 regions","Lao2026/Xiao2017","Class II / concordant","CONFIRMED: brain + CSF same direction, cross-axis","robust","literature-encoded endpoint directions (Control vs AD / module), NOT a trajectory engine run"
"GFAP","up","up","multi-cohort/region","reactive-astro/plasma","Class II / concordant","CONFIRMED: brain + CSF same direction, cross-axis","robust","literature-encoded endpoint directions (Control vs AD / module), NOT a trajectory engine run"
"CHI3L1","up","up","multi-cohort/region","Lananna2020/CSF-meta","Class II / concordant","CONFIRMED: brain + CSF same direction, cross-axis","moderate(stage-inconsistent)","literature-encoded endpoint directions (Control vs AD / module), NOT a trajectory engine run"
"TREM2","up","up","multi-cohort","DAM/preclinical","Class II / concordant","CONFIRMED: brain + CSF same direction, cross-axis","robust","literature-encoded endpoint directions (Control vs AD / module), NOT a trajectory engine run"
"NRGN","up","down","multi-cohort","postmortem/Simoa","Class II (tissue) / modality-INVERSE","brain loss; CSF rise = release readout (do NOT read as brain up)","robust","literature-encoded endpoint directions (Control vs AD / module), NOT a trajectory engine run"
"SNAP25","up","down","multi-cohort","EV-down/CSF-up","Class II (tissue) / modality-INVERSE","brain loss; CSF rise = release readout (do NOT read as brain up)","robust","literature-encoded endpoint directions (Control vs AD / module), NOT a trajectory engine run"
"VAMP2","up","down","multi-cohort","CSF-synapse/EV","Class II (tissue) / modality-INVERSE","brain loss; CSF rise = release readout (do NOT read as brain up)","moderate","literature-encoded endpoint directions (Control vs AD / module), NOT a trajectory engine run"
"VGF","down","down","multi-cohort","Lao2026/granin-proteoform","Class II / concordant","CONFIRMED: brain + CSF same direction, cross-axis","moderate-robust","literature-encoded endpoint directions (Control vs AD / module), NOT a trajectory engine run"
"SCG2","up_ns","down","multi-cohort","Lao2026/CSF-mixed","Class II (tissue) / modality-divergent","brain loss; CSF up/ns -> modality axis unresolved","thin(CSF up/ns contested)","literature-encoded endpoint directions (Control vs AD / module), NOT a trajectory engine run"
"CNTN2","down","down","2 cohorts+postmortem","Amsterdam-DC","Class II / concordant","CONFIRMED: brain + CSF same direction, cross-axis","thin(2 cohorts,n=14 brain)","literature-encoded endpoint directions (Control vs AD / module), NOT a trajectory engine run"
